image,track_id,type,confidence,length_px,length_cm,width_px,width_mm,max_width_mm,curvature,tortuosity,hough_straightness,hough_segments,mean_intensity,area_px,bbox_x,bbox_y,bbox_w,bbox_h
VID_20220609_215401_A.mp4_snapshot_00.14_[2022.06.10_12.55.24].jpg,2,Electron,0.838,93.0,0.744,4.7,0.37,0.64,0.4727,0.3548,0.858,5,152.1,386,571,31,143,8
VID_20220609_215401_A.mp4_snapshot_00.14_[2022.06.10_12.55.24].jpg,1,Electron,0.838,56.0,0.448,6.9,0.55,0.7,0.3153,0.2888,0.727,4,134.9,305,381,31,22,38
VID_20220609_215401_A.mp4_snapshot_00.14_[2022.06.10_12.55.24].jpg,4,Electron,0.95,42.0,0.336,6.6,0.53,0.7,0.1897,0.1807,0.172,6,138.6,270,613,327,24,31
VID_20220609_215401_A.mp4_snapshot_00.14_[2022.06.10_12.55.24].jpg,3,Electron,0.838,25.0,0.2,7.4,0.59,0.8,0.3428,0.355,0.85,1,129.6,155,432,94,17,12
VID_20220609_215401_A.mp4_snapshot_00.35_[2022.06.10_12.56.31].jpg,2,Electron,0.838,69.0,0.552,4.4,0.35,0.64,0.4093,0.2754,0.888,5,149.1,323,575,31,127,7
VID_20220609_215401_A.mp4_snapshot_00.35_[2022.06.10_12.56.31].jpg,1,Alpha,0.748,45.0,0.36,6.6,0.53,0.64,0.1762,0.115,0.85,2,130.6,286,381,31,22,38
VID_20220609_215401_A.mp4_snapshot_00.35_[2022.06.10_12.56.31].jpg,3,Electron,0.838,31.0,0.248,6.8,0.54,0.64,0.4256,0.4069,0.85,2,143.4,149,612,339,10,20
VID_20220609_215401_A.mp4_snapshot_01.20_[2022.06.10_12.57.12].jpg,2,Electron,0.838,53.0,0.424,4.5,0.36,0.48,0.3577,0.2075,0.953,4,137.9,319,576,31,144,6
VID_20220609_215401_A.mp4_snapshot_01.20_[2022.06.10_12.57.12].jpg,1,Alpha,0.748,44.0,0.352,6.8,0.54,0.67,0.1601,0.0949,0.823,4,122.3,296,381,31,22,38
VID_20220609_215401_A.mp4_snapshot_01.20_[2022.06.10_12.57.12].jpg,3,Electron,0.838,29.0,0.232,7.1,0.57,0.8,0.3269,0.2891,0.85,2,134.3,180,609,341,12,23
VID_20220609_215401_A.mp4_snapshot_01.20_[2022.06.10_12.57.12].jpg,5,Electron,0.838,28.0,0.224,5.6,0.45,0.48,0.5438,0.5235,0.85,2,112.5,94,291,726,6,16
VID_20220609_215401_A.mp4_snapshot_01.20_[2022.06.10_12.57.12].jpg,4,Electron,0.95,25.0,0.2,7.5,0.6,0.86,0.3007,0.3343,0.0,3,138.1,190,62,518,15,18
VID_20220609_215401_A.mp4_snapshot_01.25_[2022.06.10_12.57.39].jpg,1,Electron,0.838,52.0,0.416,6.7,0.54,0.64,0.2715,0.2341,0.938,3,122.8,292,381,31,22,38
VID_20220609_215401_A.mp4_snapshot_01.25_[2022.06.10_12.57.39].jpg,2,Electron,0.838,48.0,0.384,4.4,0.35,0.48,0.4929,0.375,1.0,4,138.6,323,549,31,169,6
