epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9829,2.62571,5.2217,2.83041,0.00096,0.16909,0.01181,0.00298,2.83464,5.69697,2.76707,0.000343881,0.000343881,0.000343881
2,118.154,2.22516,5.00984,2.50359,0.00109,0.21455,0.00777,0.00132,2.63758,5.29967,2.61312,0.000711857,0.000711857,0.000711857
3,174.214,2.21488,4.87215,2.48257,0.00563,0.40788,0.06298,0.00829,2.32566,5.27081,2.42822,0.00107739,0.00107739,0.00107739
4,231.326,2.30022,4.77975,2.47301,0.00261,0.31394,0.01963,0.00313,2.70273,5.69855,2.87073,0.0011,0.0011,0.0011
5,289.4,2.30975,4.80253,2.46507,0.00254,0.51394,0.03913,0.00739,2.64274,5.62787,2.81129,0.00109633,0.00109633,0.00109633
6,347.685,2.20642,4.57571,2.43688,0.0024,0.38242,0.01007,0.00192,2.88388,5.62488,3.2822,0.00109267,0.00109267,0.00109267
7,406.316,2.15231,4.32483,2.39868,0.20137,0.12182,0.00143,0.00038,3.4527,19.5315,4.44578,0.001089,0.001089,0.001089
8,463.928,2.19333,4.55725,2.41461,0.20614,0.08364,0.00268,0.00068,2.95926,82.9251,5.2645,0.00108534,0.00108534,0.00108534
9,520.24,2.20148,4.39927,2.45277,0.63844,0.06,0.03371,0.01377,2.67264,6.46258,3.1504,0.00108167,0.00108167,0.00108167
10,576.441,2.1319,4.2413,2.393,0.85648,0.02,0.01205,0.00489,2.70274,7.21423,3.31514,0.001078,0.001078,0.001078
11,632.898,2.1687,4.14747,2.4295,0.62455,0.10364,0.01215,0.00377,2.81741,11.6002,3.33246,0.00107434,0.00107434,0.00107434
12,689.101,2.20865,4.25078,2.45268,0.53408,0.02,0.03071,0.01526,2.40855,10.7119,2.74099,0.00107067,0.00107067,0.00107067
13,745.077,2.15352,4.21812,2.45178,0.42737,0.08909,0.02102,0.00517,2.38114,9.07666,3.07126,0.001067,0.001067,0.001067
14,801.836,2.13666,4.11534,2.41681,0.68087,0.06,0.04415,0.00993,2.25517,5.64336,2.69189,0.00106334,0.00106334,0.00106334
15,858.395,2.07206,4.002,2.3765,0.67148,0.06,0.04038,0.01426,2.41725,5.81634,2.65882,0.00105967,0.00105967,0.00105967
16,916.92,2.07902,3.92187,2.3631,0.22662,0.12909,0.04267,0.01777,2.32422,5.24435,2.39372,0.00105601,0.00105601,0.00105601
17,973.323,2.1007,4.09453,2.34302,0.44617,0.18,0.06914,0.02782,2.31624,5.63059,2.45667,0.00105234,0.00105234,0.00105234
18,1029.89,2.04677,3.83114,2.31128,0.47074,0.13273,0.04977,0.0188,2.30113,5.97894,2.47547,0.00104867,0.00104867,0.00104867
19,1086.42,1.98129,3.79688,2.22151,0.24373,0.28485,0.05813,0.02009,2.0708,5.774,2.2667,0.00104501,0.00104501,0.00104501
20,1142.82,2.04204,3.67432,2.32196,0.65643,0.17455,0.05858,0.02035,2.21107,5.38905,2.33892,0.00104134,0.00104134,0.00104134
21,1198.34,1.98483,3.81487,2.21952,0.65589,0.11439,0.05647,0.0226,2.17082,5.21157,2.36738,0.00103767,0.00103767,0.00103767
22,1254.23,2.06948,3.91594,2.30846,0.65712,0.12909,0.08579,0.03885,2.11548,4.74337,2.30049,0.00103401,0.00103401,0.00103401
23,1310.43,1.9099,3.72291,2.19364,0.68236,0.08,0.11002,0.0492,2.17398,4.08503,2.30613,0.00103034,0.00103034,0.00103034
24,1367.14,2.0265,3.6601,2.26497,0.66953,0.06,0.10102,0.03955,2.20119,3.5744,2.201,0.00102668,0.00102668,0.00102668
25,1423.03,1.92811,3.56702,2.1738,0.69314,0.09193,0.10444,0.04165,2.20228,3.4887,2.20303,0.00102301,0.00102301,0.00102301
26,1478.53,1.89801,3.52002,2.16729,0.66926,0.18307,0.08969,0.03409,2.3753,3.61956,2.39573,0.00101934,0.00101934,0.00101934
27,1533.94,1.93766,3.63034,2.21516,0.66895,0.12364,0.11557,0.04853,2.43884,4.18882,2.47353,0.00101568,0.00101568,0.00101568
28,1589.66,1.93085,3.45534,2.19497,0.3702,0.22121,0.14303,0.04995,2.46083,3.9566,2.48013,0.00101201,0.00101201,0.00101201
29,1645.22,1.96954,3.52019,2.23205,0.58094,0.17576,0.10589,0.03618,2.10217,3.93731,2.20381,0.00100834,0.00100834,0.00100834
30,1702.28,1.86969,3.43675,2.15085,0.58763,0.17394,0.11699,0.04413,2.19477,3.76829,2.25304,0.00100468,0.00100468,0.00100468
31,1758.85,1.85227,3.46715,2.13499,0.37199,0.22945,0.17925,0.0551,2.25112,3.67072,2.29232,0.00100101,0.00100101,0.00100101
32,1815.99,1.95533,3.38819,2.23096,0.37355,0.2703,0.16436,0.06811,2.28027,3.75277,2.3754,0.000997345,0.000997345,0.000997345
33,1872.74,1.96475,3.38021,2.25586,0.41264,0.28848,0.15621,0.06676,2.35534,4.02566,2.4837,0.000993678,0.000993678,0.000993678
34,1929.09,1.91315,3.45032,2.19313,0.44262,0.22182,0.15969,0.06518,2.36529,4.11635,2.47516,0.000990012,0.000990012,0.000990012
35,1986.07,1.92931,3.38974,2.22581,0.6946,0.19019,0.10928,0.04164,2.29474,3.9252,2.39704,0.000986346,0.000986346,0.000986346
36,2043.46,1.93894,3.33351,2.21216,0.76302,0.13636,0.10745,0.03188,2.33473,3.63799,2.45218,0.000982679,0.000982679,0.000982679
37,2099.18,1.92537,3.30003,2.15397,0.73754,0.16727,0.13855,0.03784,2.31047,3.46623,2.46872,0.000979013,0.000979013,0.000979013
38,2153.9,1.90915,3.27258,2.21562,0.73487,0.14753,0.15153,0.03873,2.27136,3.48773,2.50762,0.000975347,0.000975347,0.000975347
39,2208.27,1.88789,3.12817,2.12279,0.5061,0.10909,0.10049,0.03273,2.32329,3.67338,2.46622,0.000971681,0.000971681,0.000971681
40,2268.14,1.88951,3.17131,2.11271,0.51002,0.14364,0.09371,0.03378,2.31235,3.72428,2.45986,0.000968014,0.000968014,0.000968014
41,2323.78,1.86606,3.1406,2.13708,0.49,0.13531,0.10627,0.04287,2.15643,3.73934,2.34964,0.000964348,0.000964348,0.000964348
42,2379.37,1.75634,3.0853,2.03969,0.48836,0.17273,0.13502,0.05079,2.10817,3.70639,2.32499,0.000960682,0.000960682,0.000960682
43,2434.48,1.80736,2.96282,2.07393,0.2982,0.29576,0.08822,0.03129,1.99994,3.59861,2.21523,0.000957015,0.000957015,0.000957015
44,2489.26,1.82608,3.04487,2.07858,0.24593,0.18182,0.06856,0.02799,1.96728,3.57779,2.1607,0.000953349,0.000953349,0.000953349
45,2543.7,1.76971,3.07005,2.05723,0.31155,0.18303,0.09434,0.0396,1.99318,3.57395,2.12261,0.000949683,0.000949683,0.000949683
46,2598.61,1.71664,2.96477,2.00347,0.36154,0.15394,0.1421,0.06705,1.99619,3.51884,2.10728,0.000946016,0.000946016,0.000946016
47,2653.28,1.79497,3.03018,2.06728,0.3485,0.18121,0.14734,0.06427,2.13626,3.63527,2.18225,0.00094235,0.00094235,0.00094235
48,2711.59,1.76068,2.99974,2.01119,0.41714,0.1637,0.17554,0.06713,2.08622,3.27734,2.10188,0.000938684,0.000938684,0.000938684
49,2770.28,1.75366,2.89087,2.00951,0.61832,0.17939,0.13703,0.05941,2.27891,3.35057,2.23081,0.000935018,0.000935018,0.000935018
50,2823.39,1.87654,2.9663,2.03911,0.60671,0.20848,0.13308,0.05782,2.30177,3.34995,2.26382,0.000931351,0.000931351,0.000931351
51,2876.12,1.80061,2.76072,2.01162,0.45925,0.24,0.14079,0.06883,2.26611,3.25935,2.24099,0.000927685,0.000927685,0.000927685
52,2929.38,1.83587,2.93717,2.02332,0.487,0.26909,0.17234,0.06722,2.21548,3.11613,2.16012,0.000924019,0.000924019,0.000924019
53,2984.73,1.75355,2.93012,2.01692,0.51911,0.24182,0.20072,0.0733,2.16258,2.98783,2.19746,0.000920352,0.000920352,0.000920352
54,3039.01,1.86037,2.94437,2.03487,0.38064,0.2703,0.16565,0.06057,2.12158,3.19434,2.18827,0.000916686,0.000916686,0.000916686
55,3094.69,1.93335,2.98122,2.13969,0.3222,0.16485,0.14366,0.05736,2.08854,3.20416,2.2141,0.00091302,0.00091302,0.00091302
56,3148.11,1.83981,2.99338,2.06837,0.38585,0.19471,0.13323,0.06212,2.19456,3.24428,2.33059,0.000909353,0.000909353,0.000909353
57,3202.93,1.81861,2.96882,2.0606,0.36674,0.19319,0.1541,0.06135,1.97465,3.30692,2.20636,0.000905687,0.000905687,0.000905687
58,3257.95,1.93231,3.04977,2.16783,0.53007,0.17485,0.1646,0.06062,2.04441,3.24582,2.24085,0.000902021,0.000902021,0.000902021
59,3314.43,1.76587,2.87013,2.05828,0.47136,0.22303,0.16231,0.06214,2.17633,3.24584,2.3354,0.000898355,0.000898355,0.000898355
60,3372.35,1.69987,2.83102,1.98533,0.38986,0.14848,0.13699,0.05075,2.40968,3.23891,2.50267,0.000894688,0.000894688,0.000894688
61,3429.35,1.74836,2.75234,2.01371,0.42813,0.17432,0.15459,0.05662,2.271,3.10214,2.34619,0.000891022,0.000891022,0.000891022
62,3485.86,1.70781,2.68945,1.98081,0.46327,0.16303,0.1726,0.06235,2.19849,3.13788,2.27309,0.000887356,0.000887356,0.000887356
63,3543.33,1.75907,2.71244,1.9828,0.36063,0.16303,0.12267,0.04704,2.05287,3.06441,2.16038,0.000883689,0.000883689,0.000883689
64,3602.16,1.72239,2.659,1.96139,0.32458,0.23803,0.08982,0.03192,2.09663,3.00168,2.2134,0.000880023,0.000880023,0.000880023
65,3659.69,1.67416,2.69113,1.92278,0.26405,0.22909,0.09387,0.03101,2.22176,3.18771,2.34046,0.000876357,0.000876357,0.000876357
66,3715.97,1.71148,2.64607,1.95544,0.31589,0.28667,0.10041,0.03499,2.17718,3.23343,2.31002,0.000872691,0.000872691,0.000872691
