segment,trajectory_id,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,trajectory_length_px,trajectory_orientation_deg,trajectory_straightness,trajectory_curvature_rad_per_px,trajectory_average_angle_change_deg,trajectory_evidence
1,1,395,563,442,619,418.5,591.0,73.10950690573696,130.0062560141766,106.41115851643039,130.42604915600214,0.9850942088275881,0.00044006591692131867,1.3415212055170684,Straight trajectory
49,1,420,595,442,620,431.0,607.5,33.301651610693426,131.34777721969368,106.41115851643039,130.42604915600214,0.9850942088275881,0.00044006591692131867,1.3415212055170684,Straight trajectory
3,2,690,446,700,505,695.0,475.5,59.841457201508724,99.61972779969885,158.0209059676923,97.00461216792563,0.9835626538725468,0.00616295150132521,16.188375686392597,Curved trajectory
82,2,692,492,695,466,693.5,479.0,26.1725046566048,83.418055344822,158.0209059676923,97.00461216792563,0.9835626538725468,0.00616295150132521,16.188375686392597,Curved trajectory
2,2,695,478,707,549,701.0,513.5,72.00694410957877,99.59313426273033,158.0209059676923,97.00461216792563,0.9835626538725468,0.00616295150132521,16.188375686392597,Curved trajectory
38,3,608,885,634,859,621.0,872.0,36.76955262170047,45.0,172.59679296925745,41.953016995710655,0.8617284224774435,0.003876389448784312,6.574837681025691,Uncertain
4,3,585,884,625,844,605.0,864.0,56.568542494923804,45.0,172.59679296925745,41.953016995710655,0.8617284224774435,0.003876389448784312,6.574837681025691,Uncertain
24,3,562,895,596,872,579.0,883.5,41.048751503547585,34.07719528013074,172.59679296925745,41.953016995710655,0.8617284224774435,0.003876389448784312,6.574837681025691,Uncertain
32,3,564,896,592,870,578.0,883.0,38.2099463490856,42.87890360333855,172.59679296925745,41.953016995710655,0.8617284224774435,0.003876389448784312,6.574837681025691,Uncertain
65,4,332,899,338,870,335.0,884.5,29.614185789921695,78.3106308245608,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
5,4,348,895,376,850,362.0,872.5,53.0,58.10920819815429,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
27,4,354,876,371,840,362.5,858.0,39.81205847478876,64.72227776444704,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
40,4,362,875,372,840,367.0,857.5,36.40054944640259,74.05460409907715,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
31,4,369,890,382,854,375.5,872.0,38.27531841800928,70.14478563067895,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
69,4,403,834,420,810,411.5,822.0,29.410882339705484,54.68878656036681,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
67,4,435,822,447,795,441.0,808.5,29.546573405388315,66.03751102542182,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
14,4,463,883,479,838,471.0,860.5,47.75981574503821,70.42687416958981,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
39,4,455,819,471,786,463.0,802.5,36.6742416417845,64.13364320590549,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
44,4,488,876,505,846,496.5,861.0,34.48187929913333,60.4612177404419,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
63,4,518,854,535,829,526.5,841.5,30.23243291566195,55.7842978675626,405.2079374758341,65.14609347372122,0.5148419636409244,0.0023842563675157418,8.589329997728992,Uncertain
6,5,609,852,644,890,626.5,871.0,51.66236541235796,132.6467031338917,51.66236541235796,132.6467031338917,1.0,0.0,0.0,Uncertain
7,6,568,338,608,307,588.0,322.5,50.60632371551998,37.77568430595466,93.09161528801599,32.665646531617,0.8754374096791481,0.004203653760366967,11.210633128876673,Uncertain
21,6,566,333,604,314,585.0,323.5,42.485291572496,26.56505117707799,93.09161528801599,32.665646531617,0.8754374096791481,0.004203653760366967,11.210633128876673,Uncertain
8,7,156,478,192,512,174.0,495.0,49.51767361255979,136.6365770416167,265.61877174683514,128.74113464254918,0.5682905779683022,0.007770835394093024,16.493092573759423,Curved trajectory
89,7,173,449,182,473,177.5,461.0,25.632011235952593,110.55604521958347,265.61877174683514,128.74113464254918,0.5682905779683022,0.007770835394093024,16.493092573759423,Curved trajectory
36,7,178,464,206,488,192.0,476.0,36.87817782917155,139.3987053549955,265.61877174683514,128.74113464254918,0.5682905779683022,0.007770835394093024,16.493092573759423,Curved trajectory
29,7,218,474,247,500,232.5,487.0,38.948684188300895,138.1221304621157,265.61877174683514,128.74113464254918,0.5682905779683022,0.007770835394093024,16.493092573759423,Curved trajectory
51,7,229,446,246,474,237.5,460.0,32.7566787083184,121.26373169437741,265.61877174683514,128.74113464254918,0.5682905779683022,0.007770835394093024,16.493092573759423,Curved trajectory
12,7,238,422,269,459,253.5,440.5,48.27007354458868,129.9575489308291,265.61877174683514,128.74113464254918,0.5682905779683022,0.007770835394093024,16.493092573759423,Curved trajectory
48,7,228,391,241,422,234.5,406.5,33.61547262794322,112.75097634278762,265.61877174683514,128.74113464254918,0.5682905779683022,0.007770835394093024,16.493092573759423,Curved trajectory
20,8,365,476,389,512,377.0,494.0,43.266615305567875,123.69006752597979,238.78959075818074,132.28026143928915,0.9090738576549926,0.004522073087748667,13.989518257382006,Uncertain
11,8,356,474,400,494,378.0,484.0,48.33218389437829,155.55604521958347,238.78959075818074,132.28026143928915,0.9090738576549926,0.004522073087748667,13.989518257382006,Uncertain
53,8,366,469,391,489,378.5,479.0,32.01562118716424,141.34019174590992,238.78959075818074,132.28026143928915,0.9090738576549926,0.004522073087748667,13.989518257382006,Uncertain
9,8,348,447,380,484,364.0,465.5,48.91829923454004,130.85537625889572,238.78959075818074,132.28026143928915,0.9090738576549926,0.004522073087748667,13.989518257382006,Uncertain
34,8,361,413,380,446,370.5,429.5,38.07886552931954,119.9315118405078,238.78959075818074,132.28026143928915,0.9090738576549926,0.004522073087748667,13.989518257382006,Uncertain
71,8,376,389,389,414,382.5,401.5,28.178005607210743,117.47443162627712,238.78959075818074,132.28026143928915,0.9090738576549926,0.004522073087748667,13.989518257382006,Uncertain
10,9,379,511,385,463,382.0,487.0,48.373546489791295,82.8749836510982,75.05687461804396,80.79102219988094,0.9347822172998366,0.0027297660348488983,5.869600443014704,Straight trajectory
78,9,356,477,362,451,359.0,464.0,26.68332812825267,77.0053832080835,75.05687461804396,80.79102219988094,0.9347822172998366,0.0027297660348488983,5.869600443014704,Straight trajectory
13,10,384,731,418,697,401.0,714.0,48.08326112068523,45.0,146.07713667070345,72.06834882521225,0.9651543773644845,0.01049617813204024,21.144982940974003,Curved trajectory
43,10,399,726,411,693,405.0,709.5,35.11409973215888,70.01689347810003,146.07713667070345,72.06834882521225,0.9651543773644845,0.01049617813204024,21.144982940974003,Curved trajectory
58,10,402,715,406,684,404.0,699.5,31.25699921617557,82.64762064010765,146.07713667070345,72.06834882521225,0.9651543773644845,0.01049617813204024,21.144982940974003,Curved trajectory
55,10,397,654,407,684,402.0,669.0,31.622776601683793,108.43494882292201,146.07713667070345,72.06834882521225,0.9651543773644845,0.01049617813204024,21.144982940974003,Curved trajectory
15,11,845,949,889,966,867.0,957.5,47.16990566028302,158.8752808539275,79.48089450309004,158.6001919967309,0.9924812184413409,0.00029719027517627664,0.6766903402793218,Straight trajectory
52,11,875,959,905,971,890.0,965.0,32.31098884280702,158.19859051364818,79.48089450309004,158.6001919967309,0.9924812184413409,0.00029719027517627664,0.6766903402793218,Straight trajectory
16,12,456,534,487,500,471.5,517.0,46.010868281309364,47.642545294064725,79.84871691268663,57.45002753450689,0.7401439233616807,0.01022385797695772,23.387046897448734,Uncertain
46,12,468,533,479,501,473.5,517.0,33.83784863137726,71.02959219151346,79.84871691268663,57.45002753450689,0.7401439233616807,0.01022385797695772,23.387046897448734,Uncertain
17,13,674,822,700,785,687.0,803.5,45.221676218380054,54.904183212973884,89.062296651946,50.02965575736391,0.8899535198558457,0.003881790910079076,9.904183212973884,Uncertain
18,13,665,824,696,793,680.5,808.5,43.840620433565945,45.0,89.062296651946,50.02965575736391,0.8899535198558457,0.003881790910079076,9.904183212973884,Uncertain
19,14,817,279,843,244,830.0,261.5,43.60045871318328,53.3929251873925,43.60045871318328,53.3929251873925,1.0,0.0,0.0,Uncertain
22,15,523,786,553,816,538.0,801.0,42.42640687119285,135.0,116.89784391166059,121.41028214208242,0.9917333587109028,0.007326098962792608,16.124949256753766,Uncertain
42,15,527,785,539,818,533.0,801.5,35.11409973215888,109.98310652189997,116.89784391166059,121.41028214208242,0.9917333587109028,0.007326098962792608,16.124949256753766,Uncertain
28,15,498,797,516,832,507.0,814.5,39.35733730830886,117.21611155730747,116.89784391166059,121.41028214208242,0.9917333587109028,0.007326098962792608,16.124949256753766,Uncertain
23,16,859,1001,892,1027,875.5,1014.0,42.01190307520001,141.76617482255307,77.48019877713641,136.58129799384858,0.8739989324171786,0.005108970220911103,11.340096082453925,Uncertain
41,16,860,1001,883,1028,871.5,1014.5,35.4682957019364,130.42607874009914,77.48019877713641,136.58129799384858,0.8739989324171786,0.005108970220911103,11.340096082453925,Uncertain
25,17,295,758,327,733,311.0,745.5,40.607881008493905,37.99873244250467,79.20839913973147,27.563024926909026,0.7617593214792443,0.009449189398547301,21.441661066868015,Uncertain
30,17,271,741,308,730,289.5,735.5,38.600518131237564,16.557071375636653,79.20839913973147,27.563024926909026,0.7617593214792443,0.009449189398547301,21.441661066868015,Uncertain
26,18,427,247,464,262,445.5,254.5,39.92492955535426,157.93210043758978,39.92492955535426,157.93210043758978,1.0,0.0,0.0,Uncertain
33,19,464,672,491,699,477.5,685.5,38.18376618407357,135.0,38.18376618407357,135.0,1.0,0.0,0.0,Uncertain
35,20,595,565,612,532,603.5,548.5,37.12142238654117,62.74467162505693,195.30448565072632,64.77408991395095,0.6748416181707938,0.004676678687191918,14.134594890464893,Uncertain
57,20,615,509,629,481,622.0,495.0,31.304951684997057,63.43494882292201,195.30448565072632,64.77408991395095,0.6748416181707938,0.004676678687191918,14.134594890464893,Uncertain
59,20,643,509,644,478,643.5,493.5,31.016124838541646,88.15238973400541,195.30448565072632,64.77408991395095,0.6748416181707938,0.004676678687191918,14.134594890464893,Uncertain
45,20,625,480,645,452,635.0,466.0,34.40930106817051,54.46232220802562,195.30448565072632,64.77408991395095,0.6748416181707938,0.004676678687191918,14.134594890464893,Uncertain
54,20,604,475,621,448,612.5,461.5,31.906112267087632,57.804266065286754,195.30448565072632,64.77408991395095,0.6748416181707938,0.004676678687191918,14.134594890464893,Uncertain
66,20,606,474,618,447,612.0,460.5,29.546573405388315,66.03751102542182,195.30448565072632,64.77408991395095,0.6748416181707938,0.004676678687191918,14.134594890464893,Uncertain
37,21,558,393,584,367,571.0,380.0,36.76955262170047,45.0,36.76955262170047,45.0,1.0,0.0,0.0,Uncertain
47,22,306,847,325,819,315.5,833.0,33.83784863137726,55.84030545433057,64.64369223287599,55.080605210283906,0.9822867476803632,0.0008608391853312572,1.5941927087673164,Straight trajectory
60,22,295,859,313,834,304.0,846.5,30.805843601498726,54.24611274556325,64.64369223287599,55.080605210283906,0.9822867476803632,0.0008608391853312572,1.5941927087673164,Straight trajectory
50,23,725,885,727,852,726.0,868.5,33.06055050963308,86.53177074108285,33.06055050963308,86.53177074108285,1.0,0.0,0.0,Uncertain
56,24,465,854,474,884,469.5,869.0,31.32091952673165,106.69924423399361,31.32091952673165,106.69924423399361,1.0,0.0,0.0,Uncertain
61,25,796,189,802,159,799.0,174.0,30.59411708155671,78.69006752597979,60.12376320202351,70.3496325222655,0.8112130745334871,0.009864512574612754,16.990823291986153,Uncertain
68,25,791,184,805,158,798.0,171.0,29.5296461204668,61.69924423399363,60.12376320202351,70.3496325222655,0.8112130745334871,0.009864512574612754,16.990823291986153,Uncertain
62,26,491,715,495,685,493.0,700.0,30.265491900843113,82.40535663140857,83.83218871957624,76.1354278628263,0.9927061373183452,0.00627802568613932,10.492322700728181,Uncertain
72,26,492,715,502,689,497.0,702.0,27.85677655436824,68.96248897457819,83.83218871957624,76.1354278628263,0.9927061373183452,0.00627802568613932,10.492322700728181,Uncertain
88,26,514,736,520,711,517.0,723.5,25.709920264364882,76.50426671920418,83.83218871957624,76.1354278628263,0.9927061373183452,0.00627802568613932,10.492322700728181,Uncertain
64,27,433,275,446,302,439.5,288.5,29.966648127543394,115.70995378081126,29.966648127543394,115.70995378081126,1.0,0.0,0.0,Uncertain
70,28,164,507,192,513,178.0,510.0,28.635642126552707,167.9052429229879,28.635642126552707,167.9052429229879,1.0,0.0,0.0,Uncertain
73,29,685,259,695,233,690.0,246.0,27.85677655436824,68.96248897457819,27.85677655436824,68.96248897457819,1.0,0.0,0.0,Uncertain
74,30,502,638,514,663,508.0,650.5,27.730849247724095,115.64100582430528,27.730849247724095,115.64100582430527,1.0,0.0,0.0,Uncertain
75,31,633,316,638,289,635.5,302.5,27.459060435491963,79.50852298766841,27.459060435491963,79.50852298766841,1.0,0.0,0.0,Uncertain
76,32,407,383,415,357,411.0,370.0,27.202941017470888,72.89727103094764,53.279750638281484,79.11278218237166,0.8588441820660351,0.008323126052962055,12.704023614056837,Uncertain
83,32,434,385,436,359,435.0,372.0,26.076809620810597,85.60129464500447,53.279750638281484,79.11278218237166,0.8588441820660351,0.008323126052962055,12.704023614056837,Uncertain
77,33,596,339,599,312,597.5,325.5,27.16615541441225,83.6598082540901,27.16615541441225,83.6598082540901,1.0,0.0,0.0,Uncertain
79,34,248,1397,253,1371,250.5,1384.0,26.476404589747453,79.11447294534128,51.49639659614106,83.28947223727702,0.9045009220886644,0.005826023205929199,8.594917012020204,Uncertain
91,34,250,1397,251,1372,250.5,1384.5,25.019992006393608,87.70938995736148,51.49639659614106,83.28947223727702,0.9045009220886644,0.005826023205929199,8.594917012020204,Uncertain
80,35,816,1377,827,1401,821.5,1389.0,26.40075756488817,114.62356478616361,26.40075756488817,114.62356478616363,1.0,0.0,0.0,Uncertain
81,36,609,886,613,860,611.0,873.0,26.30589287593181,81.2538377374448,26.30589287593181,81.2538377374448,1.0,0.0,0.0,Uncertain
84,37,326,505,352,507,339.0,506.0,26.076809620810597,175.60129464500446,26.076809620810597,175.60129464500443,1.0,0.0,0.0,Uncertain
85,38,636,826,637,800,636.5,813.0,26.019223662515376,87.7974018382342,26.019223662515376,87.7974018382342,1.0,0.0,0.0,Uncertain
86,39,414,908,420,883,417.0,895.5,25.709920264364882,76.50426671920418,49.89669350926053,86.48558938982312,0.7708805596700266,0.01278445389714095,20.620749629697613,Uncertain
