segment,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,total_angle_change_deg,average_angle_change_deg,curvature_rad_per_px,trajectory_pattern
10,474,108,475,87,474.5,97.5,21.02379604162864,87.27368900609373,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
196,471,98,471,123,471.0,110.5,25.0,90.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
113,473,128,473,96,473.0,112.0,32.0,90.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
309,634,159,654,144,644.0,151.5,25.0,36.86989764584402,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
122,524,149,527,177,525.5,163.0,28.160255680657446,96.1155035662854,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
107,605,199,617,174,611.0,186.5,27.730849247724095,64.35899417569472,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
189,780,183,784,207,782.0,195.0,24.331050121192877,99.46232220802561,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
192,307,220,328,227,317.5,223.5,22.135943621178654,161.56505117707798,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
98,418,247,423,220,420.5,233.5,27.459060435491963,79.50852298766841,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
101,798,236,801,215,799.5,225.5,21.213203435596427,81.86989764584403,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
46,585,251,594,226,589.5,238.5,26.570660511172846,70.20112364547508,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
25,587,235,589,260,588.0,247.5,25.079872407968907,94.57392125990086,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
242,584,250,594,271,589.0,260.5,23.259406699226016,115.4633450618716,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
40,624,290,630,267,627.0,278.5,23.769728648009426,75.37912601136834,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
18,599,296,599,266,599.0,281.0,30.0,90.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
52,813,291,833,271,823.0,281.0,28.284271247461902,45.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
307,601,287,607,307,604.0,297.0,20.8806130178211,106.69924423399361,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
82,595,279,608,317,601.5,298.0,40.162171256046406,108.88608736970929,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
195,227,307,238,329,232.5,318.0,24.596747752497688,116.56505117707799,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
245,227,308,240,328,233.5,318.0,23.853720883753127,123.02386755579664,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
204,601,320,604,296,602.5,308.0,24.186773244895647,82.8749836510982,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
272,224,314,225,334,224.5,324.0,20.024984394500787,92.86240522611175,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
4,604,316,612,348,608.0,332.0,32.984845004941285,104.03624346792647,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
203,460,334,472,359,466.0,346.5,27.730849247724095,115.64100582430528,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
191,315,360,332,342,323.5,351.0,24.758836806279895,46.63657704161672,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
85,461,337,471,359,466.0,348.0,24.166091947189145,114.44395478041653,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
216,372,348,386,366,379.0,357.0,22.80350850198276,127.8749836510982,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
148,373,347,381,368,377.0,357.5,22.47220505424423,110.85445803957835,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
