image_name,roi_x,roi_y,roi_width,roi_height,raw_hough_segments,filtered_segments,trajectory_count,primary_trajectory_id,trajectory_length_px,orientation_angle_deg,straightness,curvature_rad_per_px,average_angle_change_deg,trajectory_evidence
awan1.jpg,54,87,972,1578,23,11,6,2,121.9177,133.667,0.9565,0.00264354,6.1696,Straight trajectory
awan10.jpg,54,89,972,1607,168,104,36,1,1166.487,82.0587,0.2551,0.00915738,28.8695,Curved trajectory
awan11.jpg,54,90,972,1620,179,108,39,1,1230.9434,59.046,0.4681,0.00828563,25.7463,Curved trajectory
awan12.jpg,54,89,972,1607,143,80,40,10,338.3976,116.1033,0.677,0.00544222,13.1846,Curved trajectory
awan13.jpg,54,89,972,1602,149,72,34,7,351.3509,107.9013,0.4393,0.00815734,17.729,Curved trajectory
awan14.jpg,54,89,972,1607,117,61,35,7,232.2629,94.0243,0.848,0.01007434,28.452,Curved trajectory
awan15.jpg,54,89,972,1613,177,98,39,3,450.9937,103.288,0.5524,0.00581391,17.3082,Curved trajectory
awan16.jpg,54,89,972,1609,124,61,30,11,187.7547,94.8138,0.5407,0.02156733,33.6883,Curved trajectory
awan17.jpg,54,89,972,1613,168,104,55,5,322.6751,99.696,0.5005,0.01495122,41.8859,Curved trajectory
awan18.jpg,54,89,972,1613,128,70,37,2,255.6733,147.5593,0.6945,0.00501728,11.7522,Curved trajectory
awan19.jpg,54,89,972,1618,214,129,53,3,792.2842,76.3626,0.7587,0.01007843,27.8938,Curved trajectory
awan2.jpg,54,88,972,1599,4,0,0,,0.0,0.0,0.0,0.0,0.0,Uncertain
awan20.jpg,54,89,972,1613,170,94,43,4,405.2079,65.1461,0.5148,0.00238426,8.5893,Uncertain
awan21.jpg,54,89,972,1613,131,68,33,1,285.1284,68.8927,0.9307,0.00796643,25.58,Curved trajectory
awan22.jpg,54,89,972,1613,185,100,38,6,235.5266,73.9682,0.522,0.00612269,17.5531,Curved trajectory
awan23.jpg,54,90,972,1621,161,100,44,1,597.1503,59.6637,0.4426,0.01043406,31.4818,Curved trajectory
awan24.jpg,54,88,972,1593,149,92,32,5,702.6017,65.9408,0.2345,0.01178275,26.2528,Curved trajectory
awan25.jpg,54,87,972,1584,135,80,43,14,185.6924,68.0655,0.8374,0.01319355,26.2754,Curved trajectory
awan26.jpg,54,96,972,1728,133,67,38,1,763.5226,0.1508,0.7063,0.00046938,2.2419,Uncertain
awan27.jpg,54,89,972,1602,122,59,22,2,588.7612,141.0479,0.3224,0.02503719,52.5518,Curved trajectory
awan28.jpg,54,89,972,1607,265,154,40,1,3195.0962,115.1293,0.1198,0.00854951,32.3722,Curved trajectory
awan29.jpg,54,87,972,1573,160,92,42,8,261.3048,104.5307,0.6998,0.00731836,20.1388,Curved trajectory
awan3.jpg,54,87,972,1573,26,11,7,4,92.2746,53.8897,0.7454,0.01473813,26.2295,Curved trajectory
awan30.jpg,54,88,972,1598,130,65,29,6,279.3023,109.3773,0.3806,0.00778255,23.436,Curved trajectory
awan4.jpg,54,88,972,1590,13,4,4,1,53.4135,141.8428,1.0,0.0,0.0,Uncertain
awan5.jpg,54,88,972,1596,357,251,44,3,3211.9739,87.0062,0.0699,0.00960249,37.556,Curved trajectory
awan6.jpg,54,88,972,1596,130,75,27,3,683.5454,106.0984,0.6027,0.0102031,25.1755,Curved trajectory
awan7.jpg,54,88,972,1602,98,37,28,9,101.7885,156.7432,0.7151,0.00481277,10.2273,Uncertain
awan8.jpg,54,88,972,1596,108,52,22,6,304.4758,69.0223,0.5522,0.00989946,22.9793,Curved trajectory
awan9.jpg,54,89,972,1607,234,135,57,6,442.8393,91.4875,0.4339,0.00856223,20.1287,Curved trajectory
bw2.jpg,54,96,972,1728,14,6,3,1,182.0669,124.7005,0.9971,0.0033807,11.888,Uncertain
bw3.jpg,54,96,972,1728,6,1,1,1,49.0,0.0,1.0,0.0,0.0,Uncertain
bw4.jpg,54,96,972,1728,8,1,1,1,38.0132,1.5074,1.0,0.0,0.0,Uncertain
bw5.jpg,54,96,972,1728,18,4,3,2,76.6226,113.2045,0.8593,0.00576976,12.6651,Uncertain
