parameter_combination,hough_threshold,min_line_length,max_line_gap,images_processed,number_of_detected_segments,average_segment_length_px,noise_reduction_percentage
"HOUGH_THRESHOLD=20, MIN_LINE_LENGTH=10, MAX_LINE_GAP=5",20,10,5,0,0,0.0,0.0
"HOUGH_THRESHOLD=20, MIN_LINE_LENGTH=10, MAX_LINE_GAP=10",20,10,10,0,0,0.0,0.0
"HOUGH_THRESHOLD=20, MIN_LINE_LENGTH=10, MAX_LINE_GAP=15",20,10,15,0,0,0.0,0.0
"HOUGH_THRESHOLD=20, MIN_LINE_LENGTH=20, MAX_LINE_GAP=5",20,20,5,0,0,0.0,0.0
"HOUGH_THRESHOLD=20, MIN_LINE_LENGTH=20, MAX_LINE_GAP=10",20,20,10,0,0,0.0,0.0
"HOUGH_THRESHOLD=20, MIN_LINE_LENGTH=20, MAX_LINE_GAP=15",20,20,15,0,0,0.0,0.0
"HOUGH_THRESHOLD=20, MIN_LINE_LENGTH=30, MAX_LINE_GAP=5",20,30,5,0,0,0.0,0.0
"HOUGH_THRESHOLD=20, MIN_LINE_LENGTH=30, MAX_LINE_GAP=10",20,30,10,0,0,0.0,0.0
"HOUGH_THRESHOLD=20, MIN_LINE_LENGTH=30, MAX_LINE_GAP=15",20,30,15,0,0,0.0,0.0
"HOUGH_THRESHOLD=30, MIN_LINE_LENGTH=10, MAX_LINE_GAP=5",30,10,5,0,0,0.0,0.0
"HOUGH_THRESHOLD=30, MIN_LINE_LENGTH=10, MAX_LINE_GAP=10",30,10,10,0,0,0.0,0.0
"HOUGH_THRESHOLD=30, MIN_LINE_LENGTH=10, MAX_LINE_GAP=15",30,10,15,0,0,0.0,0.0
"HOUGH_THRESHOLD=30, MIN_LINE_LENGTH=20, MAX_LINE_GAP=5",30,20,5,0,0,0.0,0.0
"HOUGH_THRESHOLD=30, MIN_LINE_LENGTH=20, MAX_LINE_GAP=10",30,20,10,0,0,0.0,0.0
"HOUGH_THRESHOLD=30, MIN_LINE_LENGTH=20, MAX_LINE_GAP=15",30,20,15,0,0,0.0,0.0
"HOUGH_THRESHOLD=30, MIN_LINE_LENGTH=30, MAX_LINE_GAP=5",30,30,5,0,0,0.0,0.0
"HOUGH_THRESHOLD=30, MIN_LINE_LENGTH=30, MAX_LINE_GAP=10",30,30,10,0,0,0.0,0.0
"HOUGH_THRESHOLD=30, MIN_LINE_LENGTH=30, MAX_LINE_GAP=15",30,30,15,0,0,0.0,0.0
"HOUGH_THRESHOLD=40, MIN_LINE_LENGTH=10, MAX_LINE_GAP=5",40,10,5,0,0,0.0,0.0
"HOUGH_THRESHOLD=40, MIN_LINE_LENGTH=10, MAX_LINE_GAP=10",40,10,10,0,0,0.0,0.0
"HOUGH_THRESHOLD=40, MIN_LINE_LENGTH=10, MAX_LINE_GAP=15",40,10,15,0,0,0.0,0.0
"HOUGH_THRESHOLD=40, MIN_LINE_LENGTH=20, MAX_LINE_GAP=5",40,20,5,0,0,0.0,0.0
"HOUGH_THRESHOLD=40, MIN_LINE_LENGTH=20, MAX_LINE_GAP=10",40,20,10,0,0,0.0,0.0
"HOUGH_THRESHOLD=40, MIN_LINE_LENGTH=20, MAX_LINE_GAP=15",40,20,15,0,0,0.0,0.0
"HOUGH_THRESHOLD=40, MIN_LINE_LENGTH=30, MAX_LINE_GAP=5",40,30,5,0,0,0.0,0.0
"HOUGH_THRESHOLD=40, MIN_LINE_LENGTH=30, MAX_LINE_GAP=10",40,30,10,0,0,0.0,0.0
"HOUGH_THRESHOLD=40, MIN_LINE_LENGTH=30, MAX_LINE_GAP=15",40,30,15,0,0,0.0,0.0
